TCGA-38-4631-11A-01D-1756-05	TCGA-50-6591-11A-01D-1756-05	TCGA-50-5931-11A-01D-1756-05	TCGA-44-6145-11A-01D-1756-05	TCGA-50-5936-11A-01D-1626-05	TCGA-44-6148-11A-01D-1756-05	TCGA-50-6594-11A-01D-1756-05	TCGA-44-2668-11A-01D-1551-05	TCGA-44-2665-11A-01D-1551-05	TCGA-73-4676-11A-01D-1756-05	TCGA-50-5933-11A-01D-1756-05	TCGA-44-5643-11A-01D-1626-05	TCGA-44-5645-11A-01D-1626-05	TCGA-44-2656-11A-01D-1551-05	TCGA-73-4658-11A-01D-1756-05	TCGA-50-6592-11A-01D-1756-05	TCGA-44-6778-11A-01D-1856-05	TCGA-44-6144-11A-01D-1756-05	TCGA-50-6593-11A-01D-1756-05	TCGA-44-6146-11A-01D-1756-05	TCGA-44-6147-11A-01D-1756-05	TCGA-44-2662-11A-01D-1551-05	TCGA-44-2659-11A-01D-1551-05	TCGA-50-5939-11A-01D-1626-05	TCGA-05-5420-11A-01D-1626-05	TCGA-38-4632-11A-01D-1756-05	TCGA-50-5935-11A-01D-1756-05	TCGA-49-6745-11A-01D-1856-05	TCGA-50-5932-11A-01D-1756-05	TCGA-50-5930-11A-01D-1756-05	TCGA-44-2655-11A-01D-1551-05	TCGA-49-4488-11A-01D-1756-05
cg13332474	0.0390050374608649	0.0333243096211346	0.0347506260312631	0.0297502441199653	0.0306083332319523	0.0285377574550826	0.0244678371486313	0.0347612594539174	0.0362243005664275	0.033976814016334	0.0307320146669044	0.0282812592573455	0.0251160017845433	0.0404065130635905	0.0352210644497413	0.0284678665669774	0.0271933254604977	0.0341232283245762	0.024247474597138	0.0315924975421307	0.0280812617007427	0.04542758330729	0.0401788916961814	0.0190078882170612	0.0330105492704089	0.0286866458198322	0.023073700178133	0.0292093593483066	0.0325780753612987	0.0261985629395694	0.0358464865112203	0.0328746989887294
cg00651829	0.0212590268592767	0.024731519877899	0.0195865246917342	0.0226447234946833	0.0179923525341592	0.0175996971930488	0.0223296710258849	0.0216966619113179	0.0240414720184353	0.0242930204627909	0.0277490336559375	0.0173583255946811	0.0177017742028485	0.0180812176373346	0.0340604253737885	0.0275281119666055	0.0238315415287632	0.017079716630076	0.0208536676772394	0.0194787971117062	0.0242509377319036	0.0197017728394073	0.0232104616355874	0.0177958159376576	0.0161045003680569	0.0204459010917194	0.0215380711836959	0.0214572583106883	0.0262209318091372	0.0230961174445743	0.0210428954764087	0.0218203062583359
cg17027195	0.0580087650012508	0.0483727792850542	0.0607955581685282	0.0545686277679058	0.0277567777797012	0.0794193434007125	0.0521385974155677	0.0834926214024977	0.056088534569002	0.0715464517712202	0.0439855297255267	0.0387626943991221	0.0328721338380965	0.0544007973965397	0.0525304993526569	0.0619847627659926	0.0504513050553987	0.0447978144401959	0.0589093877910869	0.0395113679283401	0.0531536070009886	0.0918318883232347	0.0767435354502187	0.0336387600944784	0.04116610588584	0.0473790973331327	0.0485604226631651	0.0393907457751868	0.0444456677484201	0.0456045731044341	0.0585250012328407	0.067597526739187
cg09868354	0.059631939117969	0.0671978227898346	0.0614333991196225	0.0550934056533371	0.0367447285925986	0.0489419188774798	0.0509791660328958	0.0592966907085057	0.07677076069564	0.0555148365353085	0.0693891218668674	0.0489638976416057	0.0427006339507905	0.065153853412098	0.0610778188607616	0.0508300201423883	0.0560139854480336	0.0550281955791517	0.0493368625722512	0.0533819703474014	0.0658576155391285	0.0636708592142398	0.0669898423726695	0.0517473168038255	0.0493710100114895	0.0479764640774508	0.0370020084502438	0.0486756768147706	0.0646763000200174	0.0528538136273189	0.0580294575266805	0.0508066558728585
cg03050183	0.122982962537485	0.113899931200948	0.136243198816348	0.0932192662057902	0.0537059319385121	0.101250970179311	0.139418706883049	0.0891438415192445	0.0962474841986375	0.119374508543273	0.131078494702421	0.159072831669791	0.163641036603997	0.0572792714054638	0.130675848057014	0.0574014128360475	0.130916453769277	0.0655744490883161	0.10595316111667	0.139545502992739	0.0917221981639983	0.0869511994045094	0.0805879331267134	0.102151114968486	0.0704817811537013	0.165564196441098	0.163354910957177	0.123307086750062	0.0891167350320434	0.0990007396037292	0.0999901078290019	0.109765543657229
cg01989731	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg06819656	0.79122954315636	0.878480541029191	0.860498558878724	0.917185837590834	0.920814476812228	0.702840096742306	0.898482288741268	0.895765057420094	0.820148966968018	0.802496565665935	0.8790665366897	0.895926948464592	0.922163908369926	0.889142536632529	0.884451981148634	0.888293226061662	0.883046720982101	0.900726139524582	0.921537596361771	0.92825437419996	0.872268948794584	0.84822981604949	0.874574653003836	0.912099192500242	0.909466160181787	0.903614505666248	0.942308329861098	0.858167918254879	0.858201677313727	0.908111702314519	0.889455756176461	0.840185810678774
cg04244851	0.864609855331894	0.924053303137937	0.929097290203438	0.907119076240269	0.883510881499461	0.91345184171698	0.928947704413176	0.930245149719132	0.910048806550799	0.920204303702605	0.917940967106876	0.914412958435293	0.922845514244096	0.959761388124649	0.911401038380032	0.921195814062618	0.90936356039046	0.912858675559551	0.927429146154055	0.880183358457098	0.890879185296013	0.958706748214941	0.950339021523918	0.920878995025756	0.924442063171413	0.934416341421219	0.898519030727638	0.919362378695642	0.911548087465466	0.898772669023626	0.930067361859054	0.902275159644448
cg19669385	0.615980864384408	0.450372037746116	0.547565296857969	0.616539858313031	0.56510532927907	0.588193669873161	0.574698650649241	0.809176411589297	0.810572003912694	0.540997904726818	0.634560416002023	0.614008728249056	0.553115574125469	0.762656769106201	0.551273325399164	0.47741214145945	0.635151961564075	0.648345984358588	0.667143829760553	0.663532697328957	0.528475485916031	0.727905610880245	0.755086033356756	0.52313882684785	0.563539983275673	0.67165448789518	0.511847417848927	0.615149525690242	0.470830794749307	0.713699259572104	0.653813745400761	0.562147620381918
cg04244855	0.918574968506272	0.934115015839514	0.950528414789312	0.948575603959853	0.935656880672809	0.908380549533317	0.914039501081119	0.944563319684877	0.942408925475006	0.935945792232022	0.904636779584216	0.920180815222493	0.918571330267397	0.951203692216033	0.948366244414524	0.932993851423018	0.946493818978933	0.931786800724046	0.949112213839194	0.957858242303389	0.926923638425358	0.958997473606638	0.95296396013146	0.931811608440179	0.929265533994453	0.946521988344186	0.91263446168955	0.912089042636479	0.918886756033017	0.934690234471841	0.950389098207283	0.936110788058792
