CpgSite	Statistic	P-value
cg13332474	6.77357464971	3.56754439712e-11
cg00651829	6.12894376895	1.80533429812e-09
cg17027195	1.08498219974	0.27845660427
cg09868354	2.31455408983	0.0210448694546
cg03050183	-4.20565716333	3.08937733964e-05
cg01989731	NA	NA
cg06819656	-2.91160511207	0.00375866922763
cg04244851	-14.1940307326	1.27809047711e-38
cg19669385	21.8567784859	1.13670562756e-74
cg04244855	-7.78838344913	3.9976851372e-14
cg17689707	12.7149487437	2.94788652258e-32
cg04244857	-13.2116074004	2.33815096326e-34
cg02434381	-1.42542739772	0.154662674069
cg05777492	0.0731184503403	0.941741335806
cg25970726	NA	NA
cg23340034	-15.6455911097	3.87748000172e-45
cg25428494	NA	NA
cg10129547	1.06487532268	0.287450460884
cg01686522	-16.2690696356	5.27944826922e-48
cg10855395	-10.3987780394	4.80785227399e-23
cg26361540	-1.04761703859	0.295325305116
cg18425908	NA	NA
cg26361545	-3.69144541234	0.000247707594141
cg10609310	13.5350068785	9.56732310995e-36
cg06363887	0.311199998112	0.755779332586
cg04804717	-10.1596351289	3.71688898206e-22
cg04079251	-1.76907683599	0.0774955305685
cg09868359	0.127846798336	0.898322030819
cg08550242	-10.5886449068	9.28061883963e-24
cg19698294	NA	NA
cg04273417	-2.68956776914	0.00739550691047
cg05491695	0.27364183772	0.784473789606
cg25515502	-0.686649985707	0.4926242025
cg13012653	7.40933497844	5.50727314036e-13
cg26728334	-4.47528290516	9.47402892146e-06
cg24533804	-3.72402774877	0.000218571594273
cg13413387	NA	NA
cg04750166	1.09905582874	0.272276895284
cg13413384	-2.1923016978	0.028821646295
cg19599226	NA	NA
cg01156077	22.8368336756	2.02763977604e-79
cg13479358	15.2703142147	1.97598790575e-43
cg05037210	-6.52639424411	1.66706160562e-10
cg18757087	-1.0128754398	0.311613494007
cg20633595	-0.00723144107882	0.994233102633
cg22970357	29.2661508146	4.06901207557e-110
cg18002126	2.16299252083	0.0310188146292
cg04129132	-2.38999135752	0.0172210820498
cg23437166	0.902674790066	0.367136671404
cg19753138	1.45407725934	0.146557350477
cg06488536	3.52068063975	0.000470137084418
cg01976176	-2.41314564342	0.0161770599582
cg01942226	3.1941979227	0.00149157519385
cg02429035	-6.23456695075	9.69909349696e-10
cg11461030	1.32637045713	0.185327414305
cg00782843	-5.54507725095	4.78812672733e-08
cg12313215	0.343235129513	0.731567009154
cg06959635	-3.86804800083	0.000124336021707
cg18614379	0.0252172377747	0.979891829584
cg06671842	NA	NA
cg20496896	NA	NA
cg24494262	NA	NA
cg12186618	6.79985798066	3.02002523616e-11
cg23696955	NA	NA
cg04755662	-4.69304774936	3.48686469278e-06
cg03258011	3.28815142921	0.00108006170243
cg23892690	-12.3046340607	1.49501800303e-30
cg25211875	0.741955329923	0.458465584596
cg01099031	1.37403061821	0.17005276487
cg01532284	NA	NA
cg04910505	NA	NA
cg04827379	-9.12889496717	1.74798005947e-18
cg00898013	11.2439881896	2.76839133356e-26
cg19503168	3.0481947358	0.00242508222806
cg16012536	4.47746967087	9.38127445968e-06
cg01057962	-0.0503593424006	0.959856308308
cg20266154	8.9424124655	7.55740273634e-18
cg01982637	NA	NA
cg00036732	9.58605533435	4.42570490054e-20
cg11968813	0.42886887674	0.668204851573
cg07102450	7.33531767865	9.0844899232e-13
cg21460020	14.1905516268	1.32399709164e-38
cg10916702	NA	NA
cg27234929	-15.0875046498	1.32487188587e-42
cg14114962	-5.31617835331	1.60514023425e-07
cg19337732	-0.886168607238	0.375956114778
cg20033082	NA	NA
cg21661864	-22.6673611522	1.34263598826e-78
cg05357137	0.32584714121	0.744677433634
cg05357131	-2.79116440334	0.0054543751605
cg10382206	-3.37239103798	0.000803433577972
cg20060206	-5.75621411698	1.50868445696e-08
cg19991086	-1.49378190103	0.13586848829
cg19269520	NA	NA
cg20073910	-0.435962378112	0.663053704099
cg20255284	NA	NA
cg20024403	-0.227884811664	0.819829700329
cg25831071	-4.62053407752	4.8855196178e-06
cg13604020	13.4475254415	2.2792356334e-35
cg02931247	-7.86823514328	2.27182246406e-14
cg16598405	-4.82545422419	1.86227833148e-06
cg09119349	-19.2554532175	4.13245255723e-62
cg01201797	9.09484094502	2.28731841167e-18
cg23500601	-2.60819389185	0.00937661702267
cg09547119	15.2285667094	3.05362588583e-43
cg13601977	-6.38105031944	4.03985393904e-10
cg17065810	NA	NA
cg10144336	-9.85391955558	4.85700293183e-21
cg06320134	3.54116044547	0.000435943610846
cg00083937	1.15472346135	0.248759704697
cg06320136	-24.0737740979	2.10336157189e-85
cg06533895	-12.4266830535	4.68199735374e-31
cg22888418	8.76095226831	3.07790201409e-17
cg02994607	-2.61377128728	0.00922701763267
cg10584271	NA	NA
cg25803918	-15.8288236439	5.62291350037e-46
cg24702040	NA	NA
cg03982074	NA	NA
cg23818351	10.5739533031	1.05472420067e-23
cg20412698	NA	NA
cg16765160	-0.552882620092	0.580592874234
cg12194824	1.11060407802	0.267276905398
cg14286665	-1.08362349574	0.279058236721
cg27442931	-3.28921860114	0.00107606256894
cg09246749	1.32569444111	0.185551163481
cg12875720	-12.5873912987	1.00607408176e-31
cg02807859	17.3221112091	6.45538296809e-53
cg23319790	NA	NA
cg26366091	1.8535927807	0.0643909986621
cg18447077	-19.3991703701	8.43879920333e-63
cg12194828	-4.58986432001	5.62711165153e-06
cg18640514	-27.4703358797	1.13638993301e-101
cg22609829	-1.0126210057	0.311734933195
cg18631201	0.405809384941	0.685057664
cg25811273	2.08932938628	0.0371870661321
cg23628240	-1.31666110667	0.188560287358
cg13384816	0.557055894276	0.57774051346
cg24233211	NA	NA
cg19967582	-0.709461507672	0.478371493183
cg25372085	5.02000328698	7.21634376028e-07
cg14855972	13.8210327961	5.50287964511e-37
cg23738681	-1.68034362949	0.0935201053943
cg18512963	-6.0923588727	2.23431746433e-09
cg11942086	NA	NA
cg11703729	0.160692597614	0.872400945465
cg17316030	-1.06934697482	0.285433472369
cg14872707	NA	NA
cg11703722	0.484949359274	0.627926370629
cg18875274	-1.28617297962	0.198983967552
cg01648556	NA	NA
cg00557293	-0.756101226187	0.44994745193
cg02889418	-4.26223778997	2.4231196843e-05
cg12434944	7.23366578969	1.79503625548e-12
cg07449799	-4.05883075322	5.72912813947e-05
cg20058937	25.9658777917	1.66555174142e-94
cg10280383	0.287240520862	0.774048123282
cg02697519	13.5848315981	5.82881697121e-36
cg07200122	-9.82332235255	6.26413697169e-21
cg02027541	0.299113269552	0.764978908142
cg15454820	9.5315740448	6.902537361e-20
cg22238304	NA	NA
cg18557131	38.2976665823	2.93769421767e-150
cg17331296	25.8686975033	4.86258686707e-94
cg02217616	NA	NA
cg02353937	-1.51885041165	0.129437288458
cg26986660	-2.18196028873	0.0295810415972
cg20980303	NA	NA
cg07093702	0.20032388905	0.841309389602
cg11118681	0.422272487395	0.673009117937
cg04529860	-0.0352794143001	0.971871131305
cg02059823	NA	NA
cg01886303	-8.2635507548	1.30025241816e-15
cg04529865	NA	NA
cg04529868	-0.793699199678	0.427759509025
cg20899625	2.60234982409	0.00953569417132
cg11619390	2.43472605494	0.0152546571978
cg02507480	1.01848179311	0.308945570598
cg07142201	7.82728776164	3.03714716036e-14
cg26901352	3.20167995535	0.00145396541456
cg06566615	NA	NA
cg18411043	-11.2838493367	1.93086159808e-26
cg01497613	25.7629490199	1.56135975086e-93
cg16964102	-6.2992172185	6.60291816572e-10
cg09009042	-1.47178449379	0.141713264117
cg03239258	NA	NA
cg09988853	1.19570708055	0.232382213503
cg05891094	NA	NA
cg03229033	9.49735807301	9.11714223891e-20
cg22251298	-0.24042687085	0.810098688223
cg08579995	-9.83961888102	5.47065145707e-21
cg07487731	20.5995511783	1.38415573209e-68
cg01965939	4.42533835857	1.1848032188e-05
cg25935047	-3.43924423173	0.00063249949833
cg17158101	0.772906778959	0.439945711371
cg21372174	-10.100319553	6.14410511424e-22
cg23388714	0.773561806082	0.439558483513
cg00746143	24.4683984092	2.62012375929e-87
cg19464876	NA	NA
cg25987194	1.94983472181	0.0517588843309
cg27136344	-1.30614777319	0.192107698606
cg24797724	-13.3567651564	5.59423131296e-35
cg02531516	-2.56870418364	0.0104993763029
cg02023043	2.50168069547	0.0126816103832
cg02023042	NA	NA
cg05172425	-1.18174280498	0.237874029151
cg22017015	-0.28483334173	0.775890713505
cg25338581	-1.13366189318	0.257484040179
cg06569993	-1.86686795405	0.0625097773988
cg11152884	1.94222569005	0.0526754875627
cg08310519	NA	NA
cg25257018	NA	NA
cg15027190	-1.03083231641	0.303121846635
cg06436510	NA	NA
cg07126559	-8.79517433713	2.36542647715e-17
cg20356482	15.8010063641	7.54179886357e-46
cg21566513	NA	NA
cg15909006	NA	NA
cg23844115	NA	NA
cg20637688	-4.55346279425	6.64789510849e-06
cg03603542	-7.3466732503	8.41515425508e-13
cg27392802	-8.6091728836	9.8078210985e-17
cg03536846	0.764635426638	0.444852292853
cg19199266	-1.12019900441	0.26317108326
cg08996579	7.62800951087	1.23895509528e-13
cg05100739	1.78743809613	0.0744771537089
cg07366848	NA	NA
cg18847009	19.5529022428	1.54003588306e-63
cg26534468	-1.51901154111	0.129396732147
cg05261759	NA	NA
cg12152384	-8.54842105431	1.55335794481e-16
cg09864990	-13.8420110474	4.45843039743e-37
cg26534460	NA	NA
cg09864992	-1.2910651339	0.197282491035
cg02144050	NA	NA
cg06308088	1.40628642019	0.160265266231
cg16817426	0.596260451604	0.551273261115
cg02602480	6.31209511983	6.1137194543e-10
cg14723423	-10.3860161007	5.36635669043e-23
cg12930896	NA	NA
cg00178790	NA	NA
cg14460735	-16.681751084	6.41615320342e-50
cg02602489	-8.24790260577	1.45900193386e-15
cg08100536	NA	NA
cg08100535	1.17050479655	0.24235995478
cg15634698	4.51706173905	7.84506888307e-06
cg26521139	8.80484830292	2.19547759152e-17
cg25953133	-1.78274798828	0.0752388387231
cg27120125	NA	NA
cg08062011	0.0747471966752	0.940445991442
cg03959232	15.8700066888	3.63954947611e-46
